[2023-11-01 10:58:12.210] ,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-01 10:58:12.228] $GPRMC,000040.869,V,,,,,0.00,0.00,060180,,,N,V*3B
[2023-11-01 10:58:12.228] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-01 10:58:12.228] $GPGGA,000040.869,,,,,0,0,,,M,,M,,*4B
[2023-11-01 10:58:12.228] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-01 10:58:12.228] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-01 10:58:12.228] $GPGSV,1,1,00,0*65
[2023-11-01 10:58:12.228] $GLGSV,1,1,00,1*78
[2023-11-01 10:58:12.228] $GPGLL,,,,,000040.869,V,N*79
[2023-11-01 10:58:12.228] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-01 10:58:12.228] $GPRMC,000041.869,V,,,,,0.00,0.00,060180,,,N,V*3A
[2023-11-01 10:58:12.228] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-01 10:58:12.228] $GPGGA,000041.869,,,,,0,0,,,M,,M,,*4A
[2023-11-01 10:58:12.228] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-01 10:58:12.228] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-01 10:58:12.228] $GPGSV,1,1,00,0*65
[2023-11-01 10:58:12.228] $GLGSV,1,1,00,1*78
[2023-11-01 10:58:12.228] $GPGLL,,,,,000041.869,V,N*78
[2023-11-01 10:58:12.228] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-01 10:58:12.228] $GPRMC,000042.869,V,,,,,0.00,0.00,060180,,,N,V*39
[2023-11-01 10:58:12.228] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-01 10:58:12.228] $GPGGA,000042.869,,,,,0,0,,,M,,M,,*49
[2023-11-01 10:58:12.228] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-01 10:58:12.228] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-01 10:58:12.228] $GPGSV,1,1,00,0*65
[2023-11-01 10:58:12.228] $GLGSV,1,1,00,1*78
[2023-11-01 10:58:12.228] $GPGLL,,,,,000042.869,V,N*7B
[2023-11-01 10:58:12.228] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
