[2023-11-02 12:00:41.336] $GPRMC,235951.101,V,,,,,0.00,0.00,050180,,,N,V*32
[2023-11-02 12:00:41.359] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-02 12:00:41.359] $GPGGA,235951.101,,,,,0,0,,,M,,M,,*41
[2023-11-02 12:00:41.359] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-02 12:00:41.359] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-02 12:00:41.359] $GPGSV,1,1,03,16,,,36,05,,,40,13,,,41,0*62
[2023-11-02 12:00:41.359] $GLGSV,1,1,02,84,,,,85,,,,1*7B
[2023-11-02 12:00:41.359] $GPGLL,,,,,235951.101,V,N*73
[2023-11-02 12:00:41.359] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-02 12:00:41.359] $GPRMC,235952.101,V,,,,,0.00,0.00,050180,,,N,V*31
[2023-11-02 12:00:41.359] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-02 12:00:41.359] $GPGGA,235952.101,,,,,0,0,,,M,,M,,*42
[2023-11-02 12:00:41.359] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-02 12:00:41.359] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-02 12:00:41.359] $GPGSV,1,1,03,16,,,36,05,,,40,13,,,41,0*62
[2023-11-02 12:00:41.359] $GLGSV,1,1,02,84,,,,85,,,,1*7B
[2023-11-02 12:00:41.359] $GPGLL,,,,,235952.101,V,N*70
[2023-11-02 12:00:41.359] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-02 12:00:41.359] $GPRMC,235953.101,V,,,,,0.00,0.00,050180,,,N,V*30
[2023-11-02 12:00:41.359] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-02 12:00:41.359] $GPGGA,235953.101,,,,,0,0,,,M,,M,,*43
[2023-11-02 12:00:41.359] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-02 12:00:41.359] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-02 12:00:41.359] $GPGSV,1,1,03,16,,,36,05,,,40,13,,,41,0*62
[2023-11-02 12:00:41.359] $GLGSV,1,1,02,84,,,,85,,,,1*7B
[2023-11-02 12:00:41.359] $GPGLL,,,,,235953.101,V,N*71
[2023-11-02 12:00:41.359] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-02 12:00:41.359] $GPRMC,235954.101,V,,,,,0.00,0.00,050180,,,N,V*37
[2023-11-02 12:00:41.376] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-02 12:00:41.376] $GPGGA,235954.101,,,,,0,0,,,M,,M,,*44
[2023-11-02 12:00:41.376] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-02 12:00:41.376] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-02 12:00:41.376] $GPGSV,1,1,03,16,,,36,05,,,40,13,,,41,0*62
[2023-11-02 12:00:41.376] $GLGSV,1,1,02,84,,,,85,,,,1*7B
[2023-11-02 12:00:41.376] $GPGLL,,,,,235954.101,V,N*76
[2023-11-02 12:00:41.376] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-02 12:00:41.376] $GPRMC,235954.314,V,,,,,0.00,0.00,050180,,,N,V*31
[2023-11-02 12:00:41.376] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-02 12:00:41.376] $GPGGA,235954.314,,,,,0,0,,,M,,M,,*42
[2023-11-02 12:00:41.376] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-02 12:00:41.376] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-02 12:00:41.376] $GPGSV,1,1,03,16,,,36,05,,,40,13,,,41,0*62
[2023-11-02 12:00:41.376] $GLGSV,1,1,02,84,,,,85,,,,1*7B
[2023-11-02 12:00:41.376] $GPGLL,,,,,235954.314,V,N*70
[2023-11-02 12:00:41.376] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-02 12:00:41.376] $GPRMC,235955.314,V,,,,,0.00,0.00,050180,,,N,V*30
[2023-11-02 12:00:41.376] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-02 12:00:41.376] $GPGGA,235955.314,,,,,0,0,,,M,,M,,*43
[2023-11-02 12:00:41.376] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-02 12:00:41.376] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-02 12:00:41.376] $GPGSV,1,1,03,16,,,36,05,,,40,13,,,41,0*62
[2023-11-02 12:00:41.376] $GLGSV,1,1,02,84,,,,85,,,,1*7B
[2023-11-02 12:00:41.376] $GPGLL,,,,,235955.314,V,N*71
[2023-11-02 12:00:41.376] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-02 12:00:41.376] $GPRMC,110026.204,V,,,,,0.01,0.00,021123,,,N,V*37
[2023-11-02 12:00:41.391] $GPVTG,0.00,T,,M,0.01,N,0.02,K,N*31
[2023-11-02 12:00:41.391] $GPGGA,110026.204,,,,,0,0,,,M,,M,,*4A
[2023-11-02 12:00:41.391] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-02 12:00:41.391] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-02 12:00:41.391] $GPGSV,3,1,12,07,79,147,,20,54,281,,30,53,214,,09,46,096,,0*61
[2023-11-02 12:00:41.391] $GPGSV,3,2,12,05,26,311,40,11,26,248,,16,15,034,36,04,14,095,,0*67
[2023-11-02 12:00:41.391] $GPGSV,3,3,12,06,10,216,,13,07,272,41,14,03,174,,27,01,063,,0*66
[2023-11-02 12:00:41.391] $GLGSV,1,1,02,84,,,,85,,,,1*7B
[2023-11-02 12:00:41.391] $GPGLL,,,,,110026.204,V,N*78
[2023-11-02 12:00:41.391] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-02 12:00:41.391] $GPRMC,110027.204,V,,,,,0.05,0.00,021123,,,N,V*32
