[2023-11-02 19:31:51.011] $GPRMC,235948.099,V,,,,,0.00,0.00,050180,,,N,V*3A
[2023-11-02 19:31:51.027] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-02 19:31:51.027] $GPGGA,235948.099,,,,,0,0,,,M,,M,,*49
[2023-11-02 19:31:51.027] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-02 19:31:51.027] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-02 19:31:51.027] $GPGSV,1,1,02,19,,,40,32,,,41,0*6F
[2023-11-02 19:31:51.027] $GLGSV,1,1,01,76,,,,1*78
[2023-11-02 19:31:51.027] $GPGLL,,,,,235948.099,V,N*7B
[2023-11-02 19:31:51.027] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-02 19:31:51.027] $GPRMC,235949.099,V,,,,,0.00,0.00,050180,,,N,V*3B
[2023-11-02 19:31:51.027] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-02 19:31:51.027] $GPGGA,235949.099,,,,,0,0,,,M,,M,,*48
[2023-11-02 19:31:51.027] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-02 19:31:51.027] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-02 19:31:51.027] $GPGSV,1,1,03,19,,,40,32,,,41,28,,,36,0*61
[2023-11-02 19:31:51.027] $GLGSV,1,1,01,76,,,,1*78
[2023-11-02 19:31:51.027] $GPGLL,,,,,235949.099,V,N*7A
[2023-11-02 19:31:51.027] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-02 19:31:51.027] $GPRMC,235950.099,V,,,,,0.00,0.00,050180,,,N,V*33
[2023-11-02 19:31:51.027] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-02 19:31:51.027] $GPGGA,235950.099,,,,,0,0,,,M,,M,,*40
[2023-11-02 19:31:51.027] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-02 19:31:51.027] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-02 19:31:51.027] $GPGSV,1,1,03,19,,,40,32,,,40,28,,,36,0*60
[2023-11-02 19:31:51.027] $GLGSV,1,1,01,76,,,,1*78
[2023-11-02 19:31:51.027] $GPGLL,,,,,235950.099,V,N*72
[2023-11-02 19:31:51.027] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-02 19:31:51.027] $GPRMC,235951.099,V,,,,,0.00,0.00,050180,,,N,V*32
[2023-11-02 19:31:51.044] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-02 19:31:51.044] $GPGGA,235951.099,,,,,0,0,,,M,,M,,*41
[2023-11-02 19:31:51.044] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-02 19:31:51.044] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-02 19:31:51.044] $GPGSV,1,1,03,19,,,40,32,,,40,28,,,37,0*61
[2023-11-02 19:31:51.044] $GLGSV,1,1,01,76,,,,1*78
[2023-11-02 19:31:51.044] $GPGLL,,,,,235951.099,V,N*73
[2023-11-02 19:31:51.044] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-02 19:31:51.044] $GPRMC,235952.099,V,,,,,0.00,0.00,050180,,,N,V*31
[2023-11-02 19:31:51.044] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-02 19:31:51.044] $GPGGA,235952.099,,,,,0,0,,,M,,M,,*42
[2023-11-02 19:31:51.044] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-02 19:31:51.044] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-02 19:31:51.044] $GPGSV,1,1,03,19,,,40,32,,,40,28,,,36,0*60
[2023-11-02 19:31:51.044] $GLGSV,1,1,01,76,,,,1*78
[2023-11-02 19:31:51.044] $GPGLL,,,,,235952.099,V,N*70
[2023-11-02 19:31:51.044] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-02 19:31:51.044] $GPRMC,235953.099,V,,,,,0.00,0.00,050180,,,N,V*30
[2023-11-02 19:31:51.044] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-02 19:31:51.044] $GPGGA,235953.099,,,,,0,0,,,M,,M,,*43
[2023-11-02 19:31:51.044] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-02 19:31:51.044] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-02 19:31:51.044] $GPGSV,1,1,03,19,,,40,32,,,40,28,,,35,0*63
[2023-11-02 19:31:51.044] $GLGSV,1,1,01,76,,,,1*78
[2023-11-02 19:31:51.044] $GPGLL,,,,,235953.099,V,N*71
[2023-11-02 19:31:51.044] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-02 19:31:51.044] $GPRMC,235954.099,V,,,,,0.00,0.00,050180,,,N,V*37
[2023-11-02 19:31:51.044] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-02 19:31:51.058] $GPGGA,235954.099,,,,,0,0,,,M,,M,,*44
[2023-11-02 19:31:51.058] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-02 19:31:51.058] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-02 19:31:51.058] $GPGSV,1,1,03,19,,,40,32,,,40,28,,,35,0*63
[2023-11-02 19:31:51.058] $GLGSV,1,1,01,76,,,,1*78
[2023-11-02 19:31:51.058] $GPGLL,,,,,235954.099,V,N*76
[2023-11-02 19:31:51.058] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-02 19:31:51.058] $GPRMC,235955.099,V,,,,,0.00,0.00,050180,,,N,V*36
[2023-11-02 19:31:51.058] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-02 19:31:51.058] $GPGGA,235955.099,,,,,0,0,,,M,,M,,*45
[2023-11-02 19:31:51.058] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-02 19:31:51.058] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-02 19:31:51.058] $GPGSV,1,1,03,19,,,40,32,,,40,28,,,35,0*63
[2023-11-02 19:31:51.058] $GLGSV,1,1,01,76,,,,1*78
[2023-11-02 19:31:51.058] $GPGLL,,,,,235955.099,V,N*77
[2023-11-02 19:31:51.058] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-02 19:31:51.058] $GPRMC,235955.403,V,,,,,0.00,0.00,050180,,,N,V*31
[2023-11-02 19:31:51.058] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-02 19:31:51.058] $GPGGA,235955.403,,,,,0,0,,,M,,M,,*42
[2023-11-02 19:31:51.058] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-02 19:31:51.058] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-02 19:31:51.058] $GPGSV,1,1,03,19,,,40,32,,,40,28,,,34,0*62
[2023-11-02 19:31:51.058] $GLGSV,1,1,01,76,,,,1*78
[2023-11-02 19:31:51.058] $GPGLL,,,,,235955.403,V,N*70
[2023-11-02 19:31:51.058] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-02 19:31:51.058] $GPRMC,235956.403,V,,,,,0.00,0.00,050180,,,N,V*32
[2023-11-02 19:31:51.058] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-02 19:31:51.058] $GPGGA,235956.403,,,,,0,0,,,M,,M,,*41
[2023-11-02 19:31:51.074] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-02 19:31:51.074] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-02 19:31:51.074] $GPGSV,1,1,03,19,,,40,32,,,40,28,,,35,0*63
[2023-11-02 19:31:51.074] $GLGSV,1,1,01,76,,,,1*78
[2023-11-02 19:31:51.074] $GPGLL,,,,,235956.403,V,N*73
[2023-11-02 19:31:51.074] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
